Unnamed: 0,Title,Video ID,Published At,Keyword,Likes,Comments,Views,pop_score
0,Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ,wAZZ-UWGVHI,2022/8/23,tech,3407,672,135612,0.0004744028982290554
1,The most EXPENSIVE thing I own.,b3x28s61q3c,2022/8/24,tech,76779,4306,1758063,0.0038236390860526344
2,My New House Gaming Setup is SICK!,4mgePWWCAmA,2022/8/23,tech,63825,3338,1564007,0.003054302711918686
3,Petrol Vs Liquid Nitrogen | Freezing Experiment | à´ªàµà´àµà´°àµà´³à´¿à´¨àµ à´à´¸àµ?à´à´à´¾àµ» à´ªà´±àµà´±àµà´®àµ?| M4 Tech |,kXiYSI7H2b0,2022/8/23,tech,71566,1426,922918,0.002453164194989638
4,Best Back to School Tech 2022!,ErMwWXQxHp0,2022/8/8,tech,96513,5155,1855644,0.004665410153481102
5,Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED,18fwz9Itbvo,2021/11/5,tech,33570,1643,943119,0.001551833824510348
6,Tech Monopolies: Last Week Tonight with John Oliver (HBO),jXf04bhcjbg,2022/6/13,tech,135047,9367,5937790,0.007759545992477786
7,I bought the STRANGEST TECH on the Internet.,2TqOmtTAMRY,2022/8/7,tech,216935,12605,4782514,0.011016329798045543
8,15 Emerging Technologies that Will Change the World,wLlL46pYcg4,2021/12/8,tech,45565,2882,7001236,0.002721886816359083
9,Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED,R7qsau3X6Ks,2022/7/14,tech,24252,1068,667767,0.001063021252765979
10,Dope Tech: The Most Extreme Gaming Monitor!,MEiq0oCUb_8,2022/8/15,tech,118001,4123,2359142,0.004674159620074308
11,Cool Tech Under $50 - August!,pT_9hntWj34,2022/8/6,tech,20999,3091,413179,0.0022229520774316243
12,Cool Back to School Tech 2022 ð¥ (Under $100),cj4lxmHQV0o,2022/8/13,tech,15322,547,389114,0.0006137510243486934
13,Best Tech/EDC Gifts Under $50 for Father&#39;s Day! - Gift Guide 2022,d-BdIo8_wpA,2021/12/15,tech,17866,157,444953,0.0005758001453156003
14,My Massive Tech Unboxing 47.0!,eFhhW6fsAbQ,2022/7/9,tech,13217,442,371563,0.0005178664466869512
15,Why Millennials Are Leaving Six-Figure Tech Jobs,N88OE2ZCHBM,2021/6/4,tech,26890,4999,1633059,0.003543559826324664
16,10 Coolest Gadgets and Inventions That Will Blow Your Mind,PKATJiyz0iI,2021/8/13,tech,9562,199,760249,0.00035459447654949226
17,17 Coolest Gadgets You Can Actually Buy,qiMnSaZWf3M,2022/7/21,tech,11743,143,1086568,0.00042451072485533744
18,Almost EVERYONE is Wasting Money on Dash Cams.,4AnyhHl3_tE,2022/8/14,tech,146978,11105,3186890,0.008910812130372175
19,I bought the THINNEST Tech in the world.,nmY2kgWYwyQ,2022/3/25,tech,363771,13609,11422924,0.014839817583037417
